## computed styles
selector	background-color	color	border-top-width	border-top-style	border-top-color	border-top-left-radius	box-shadow	outline	font-size	font-weight	font-family	padding	height	width	opacity	transition-duration	transition-timing-function
.nb-accordion	rgba(0, 0, 0, 0)	oklch(0.9791 0 89.88)	0px	none	oklch(0.9791 0 89.88)	0px	none	oklch(0.9791 0 89.88) none 3px	14.6667px	500	Carlito	0px	228.797px	718px	1	0s	ease
.nb-accordion-chevron	rgba(0, 0, 0, 0)	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32) none 3px	14.6667px	700	Carlito	0px	18px	7px	1	0.32s	cubic-bezier(0.2, 0, 0, 1)
.nb-accordion-content	oklch(0.184 0.0081 285.58)	oklch(0.9791 0 89.88)	0px	none	oklch(0.9791 0 89.88)	0px	none	oklch(0.9791 0 89.88) none 3px	12px	500	Carlito	16px	48.7969px	714px	1	0s	ease
.nb-accordion-item	rgba(0, 0, 0, 0)	oklch(0.9791 0 89.88)	2px	solid	rgb(94, 94, 96)	0px	rgb(137, 168, 137) 4px 4px 0px 0px	oklch(0.9791 0 89.88) none 3px	14.6667px	500	Carlito	0px	104.797px	718px	1	0s	ease
.nb-accordion-trigger	oklch(0.8 0.06 145)	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32) none 3px	14.6667px	700	Carlito	16px	52px	714px	1	0s	ease
.nb-alert	oklch(0.8 0.06 145)	oklch(0.134 0.0051 262.32)	2px	solid	rgb(94, 94, 96)	0px	rgb(137, 168, 137) 4px 4px 0px 0px	oklch(0.134 0.0051 262.32) none 3px	12px	500	Carlito	12px 16px	63.5938px	718px	1	0s	ease
.nb-alert--default	oklch(0.8 0.06 145)	oklch(0.134 0.0051 262.32)	2px	solid	rgb(94, 94, 96)	0px	rgb(137, 168, 137) 4px 4px 0px 0px	oklch(0.134 0.0051 262.32) none 3px	12px	500	Carlito	12px 16px	63.5938px	718px	1	0s	ease
.nb-alert--destructive	oklch(0.6124 0.2279 17.6)	oklch(0.9791 0 89.88)	2px	solid	rgb(94, 94, 96)	0px	rgb(137, 168, 137) 4px 4px 0px 0px	oklch(0.9791 0 89.88) none 3px	12px	500	Carlito	12px 16px	63.5938px	718px	1	0s	ease
.nb-alert--positive	oklch(0.8792 0.1706 165)	oklch(0.134 0.0051 262.32)	2px	solid	rgb(94, 94, 96)	0px	rgb(137, 168, 137) 4px 4px 0px 0px	oklch(0.134 0.0051 262.32) none 3px	12px	500	Carlito	12px 16px	63.5938px	718px	1	0s	ease
.nb-alert--warning	oklch(0.8369 0.1644 84.43)	oklch(0.134 0.0051 262.32)	2px	solid	rgb(94, 94, 96)	0px	rgb(137, 168, 137) 4px 4px 0px 0px	oklch(0.134 0.0051 262.32) none 3px	12px	500	Carlito	12px 16px	63.5938px	718px	1	0s	ease
.nb-alert-description	rgba(0, 0, 0, 0)	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32) none 3px	12px	500	Carlito	0px	16.7969px	654px	1	0s	ease
.nb-alert-icon	rgba(0, 0, 0, 0)	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32) none 3px	12px	500	Carlito	0px	12px	16px	1	0s	ease
.nb-alert-title	rgba(0, 0, 0, 0)	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32)	0px	none	oklch(0.134 0.0051 262.32) none 3px	12px	700	Carlito	0px	16.7969px	654px	1	0s	ease
.nb-avatar	oklch(0.184 0.0081 285.58)	oklch(0.9791 0 89.88)	0px	none	oklch(0.9791 0 89.88)	9999px	none	rgb(94, 94, 96) solid 2px	14.6667px	500	Carlito	0px	40px	40px	1	0s	ease
.nb-badge	oklch(0.8 0.06 145)	oklch(0.134 0.0051 262.32)	2px	solid	rgb(94, 94, 96)	0px	none	oklch(0.134 0.0051 262.32) none 3px	10.6667px	500	Carlito	2px 10px	22.9375px	51px	1	0s	ease
