component                     fill vs page   stroke vs fill
  nb-badge--neutral             1.07:1        2.89:1
  nb-badge--tag                 1.07:1        2.89:1
  nb-input                      1.07:1        2.89:1
  nb-textarea                   1.07:1        2.89:1
  nb-switch                     1.07:1        2.89:1
  nb-slider-track               1.07:1        2.89:1
  nb-otp-slot                   1.07:1        2.89:1
  nb-avatar                     1.07:1        2.89:1
  nb-progress                   1.07:1        2.89:1
  nb-skeleton                   1.07:1        2.89:1
  nb-chart                      1.07:1        2.89:1
  nb-marquee                    1.07:1        2.89:1
  nb-scroll-area                1.07:1        2.89:1
  nb-pagination-link            1.07:1        2.89:1
  nb-sidebar                    1.01:1        3.06:1
  nb-checkbox                   1.00:1        3.10:1
  nb-radio                      1.00:1        3.10:1
  nb-select-item                1.00:1        3.10:1
  nb-table                      1.00:1        3.10:1
  nb-resizable                  1.00:1        3.10:1
  nb-tabs-list                  1.00:1        3.10:1
  nb-menubar                    1.00:1        3.10:1
  nb-sheet                      1.00:1        3.10:1
  nb-badge                     11.00:1        3.55:1
  nb-badge--default            11.00:1        3.55:1
  nb-button--noShadow          11.00:1        3.55:1
  nb-button--reverse           11.00:1        3.55:1
  nb-select-trigger            11.00:1        3.55:1
  nb-select-content            11.00:1        3.55:1
  nb-command-item              11.00:1        3.55:1
  nb-calendar-day--selected    11.00:1        3.55:1
  nb-tabs-trigger              11.00:1        3.55:1
  nb-navmenu-trigger           11.00:1        3.55:1
  nb-menubar-trigger           11.00:1        3.55:1
  nb-menu                      11.00:1        3.55:1
  nb-popover                   11.00:1        3.55:1
  nb-tooltip                   11.00:1        3.55:1
  nb-hovercard                 11.00:1        3.55:1
  nb-switch-thumb              18.87:1        6.09:1
  nb-slider-thumb              18.87:1        6.09:1
  nb-calendar-day--today        1.00:1       18.87:1
  nb-sidebar-item               1.00:1       18.87:1

0 of 42 shadowless bordered components have no perceptible edge (both < 1.5:1).
